GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q93WT0	WRKY31	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	Q93WT0	WRKY31	GO:0043565	sequence-specific DNA binding	F
UniProtKB	Q93WT0	WRKY31	GO:0006355	regulation of transcription, DNA-templated	P
UniProtKB	Q93WT0	WRKY31	GO:0005634	nucleus	C
UniProtKB	Q93WT0	WRKY31	GO:0003677	DNA binding	F
UniProtKB	Q93WT0	WRKY31	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	Q93WT0	WRKY31	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	Q93WT0	WRKY31	GO:0005515	protein binding	F
UniProtKB	Q93WT0	WRKY31	GO:0005634	nucleus	C
