GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	F4IFX1	At2g33710	GO:0003677	DNA binding	F
UniProtKB	F4IFX1	At2g33710	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	F4IFX1	At2g33710	GO:0006355	regulation of transcription, DNA-templated	P
UniProtKB	F4IFX1	At2g33710	GO:0005634	nucleus	C
UniProtKB	F4IFX1	At2g33710	GO:0003677	DNA binding	F
UniProtKB	F4IFX1	At2g33710	GO:0010200	response to chitin	P
UniProtKB	F4IFX1	At2g33710	GO:0005634	nucleus	C
UniProtKB	F4IFX1	At2g33710	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	F4IFX1	At2g33710	GO:0005730	nucleolus	C
UniProtKB	F4IFX1	At2g33710	GO:0005634	nucleus	C
