GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	F4INZ9	At2g36690	GO:0051213	dioxygenase activity	F
UniProtKB	F4INZ9	At2g36690	GO:0016491	oxidoreductase activity	F
UniProtKB	F4INZ9	At2g36690	GO:0016491	oxidoreductase activity	F
UniProtKB	F4INZ9	At2g36690	GO:0046872	metal ion binding	F
UniProtKB	F4INZ9	At2g36690	GO:0016706	2-oxoglutarate-dependent dioxygenase activity	F
UniProtKB	F4INZ9	At2g36690	GO:0009737	response to abscisic acid	P
UniProtKB	F4INZ9	At2g36690	GO:0009686	gibberellin biosynthetic process	P
UniProtKB	F4INZ9	At2g36690	GO:0009685	gibberellin metabolic process	P
UniProtKB	F4INZ9	At2g36690	GO:0009685	gibberellin metabolic process	P
