GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q7Y222	CYP82F1	GO:0098542	defense response to other organism	P
UniProtKB	Q7Y222	CYP82F1	GO:0005506	iron ion binding	F
UniProtKB	Q7Y222	CYP82F1	GO:0020037	heme binding	F
UniProtKB	Q7Y222	CYP82F1	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	F
UniProtKB	Q7Y222	CYP82F1	GO:0004497	monooxygenase activity	F
UniProtKB	Q7Y222	CYP82F1	GO:0016491	oxidoreductase activity	F
UniProtKB	Q7Y222	CYP82F1	GO:0046872	metal ion binding	F
UniProtKB	Q7Y222	CYP82F1	GO:0016020	membrane	C
UniProtKB	Q7Y222	CYP82F1	GO:0016021	integral component of membrane	C
