GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q94C57	UGT73B2	GO:0008194	UDP-glycosyltransferase activity	F
UniProtKB	Q94C57	UGT73B2	GO:0009813	flavonoid biosynthetic process	P
UniProtKB	Q94C57	UGT73B2	GO:0016740	transferase activity	F
UniProtKB	Q94C57	UGT73B2	GO:0016757	transferase activity, transferring glycosyl groups	F
UniProtKB	Q94C57	UGT73B2	GO:0033836	flavonol 7-O-beta-glucosyltransferase activity	F
UniProtKB	Q94C57	UGT73B2	GO:0035251	UDP-glucosyltransferase activity	F
UniProtKB	Q94C57	UGT73B2	GO:0035251	UDP-glucosyltransferase activity	F
UniProtKB	Q94C57	UGT73B2	GO:0047893	flavonol 3-O-glucosyltransferase activity	F
UniProtKB	Q94C57	UGT73B2	GO:0080044	quercetin 7-O-glucosyltransferase activity	F
UniProtKB	Q94C57	UGT73B2	GO:0051707	response to other organism	P
UniProtKB	Q94C57	UGT73B2	GO:0051555	flavonol biosynthetic process	P
UniProtKB	Q94C57	UGT73B2	GO:0033836	flavonol 7-O-beta-glucosyltransferase activity	F
UniProtKB	Q94C57	UGT73B2	GO:0009813	flavonoid biosynthetic process	P
