GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9LY77	ACA12	GO:0043231	intracellular membrane-bounded organelle	C
UniProtKB	Q9LY77	ACA12	GO:0005887	integral component of plasma membrane	C
UniProtKB	Q9LY77	ACA12	GO:0019829	ATPase-coupled cation transmembrane transporter activity	F
UniProtKB	Q9LY77	ACA12	GO:0005388	P-type calcium transporter activity	F
UniProtKB	Q9LY77	ACA12	GO:0005388	P-type calcium transporter activity	F
UniProtKB	Q9LY77	ACA12	GO:0005524	ATP binding	F
UniProtKB	Q9LY77	ACA12	GO:0000166	nucleotide binding	F
UniProtKB	Q9LY77	ACA12	GO:0016020	membrane	C
UniProtKB	Q9LY77	ACA12	GO:0016021	integral component of membrane	C
UniProtKB	Q9LY77	ACA12	GO:0070588	calcium ion transmembrane transport	P
UniProtKB	Q9LY77	ACA12	GO:0005516	calmodulin binding	F
UniProtKB	Q9LY77	ACA12	GO:0005524	ATP binding	F
UniProtKB	Q9LY77	ACA12	GO:0006816	calcium ion transport	P
UniProtKB	Q9LY77	ACA12	GO:0006811	ion transport	P
UniProtKB	Q9LY77	ACA12	GO:0000166	nucleotide binding	F
UniProtKB	Q9LY77	ACA12	GO:0046872	metal ion binding	F
UniProtKB	Q9LY77	ACA12	GO:0016020	membrane	C
UniProtKB	Q9LY77	ACA12	GO:0016021	integral component of membrane	C
UniProtKB	Q9LY77	ACA12	GO:0005388	P-type calcium transporter activity	F
UniProtKB	Q9LY77	ACA12	GO:0005388	P-type calcium transporter activity	F
UniProtKB	Q9LY77	ACA12	GO:0016020	membrane	C
UniProtKB	Q9LY77	ACA12	GO:0005388	P-type calcium transporter activity	F
