GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9FWX7	ABCB11	GO:0042626	ATPase-coupled transmembrane transporter activity	F
UniProtKB	Q9FWX7	ABCB11	GO:0016021	integral component of membrane	C
UniProtKB	Q9FWX7	ABCB11	GO:0055085	transmembrane transport	P
UniProtKB	Q9FWX7	ABCB11	GO:0005524	ATP binding	F
UniProtKB	Q9FWX7	ABCB11	GO:0016887	ATPase	F
UniProtKB	Q9FWX7	ABCB11	GO:0042626	ATPase-coupled transmembrane transporter activity	F
UniProtKB	Q9FWX7	ABCB11	GO:0016021	integral component of membrane	C
UniProtKB	Q9FWX7	ABCB11	GO:0055085	transmembrane transport	P
UniProtKB	Q9FWX7	ABCB11	GO:0005524	ATP binding	F
UniProtKB	Q9FWX7	ABCB11	GO:0000166	nucleotide binding	F
UniProtKB	Q9FWX7	ABCB11	GO:0016020	membrane	C
UniProtKB	Q9FWX7	ABCB11	GO:0016021	integral component of membrane	C
UniProtKB	Q9FWX7	ABCB11	GO:0005576	extracellular region	C
UniProtKB	Q9FWX7	ABCB11	GO:0009506	plasmodesma	C
UniProtKB	Q9FWX7	ABCB11	GO:0005886	plasma membrane	C
UniProtKB	Q9FWX7	ABCB11	GO:0005886	plasma membrane	C
UniProtKB	Q9FWX7	ABCB11	GO:0005886	plasma membrane	C
UniProtKB	Q9FWX7	ABCB11	GO:0005886	plasma membrane	C
UniProtKB	Q9FWX7	ABCB11	GO:0016020	membrane	C
