GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q84TG3	PUB23	GO:0004842	ubiquitin-protein transferase activity	F
UniProtKB	Q84TG3	PUB23	GO:0016567	protein ubiquitination	P
UniProtKB	Q84TG3	PUB23	GO:0004842	ubiquitin-protein transferase activity	F
UniProtKB	Q84TG3	PUB23	GO:0005737	cytoplasm	C
UniProtKB	Q84TG3	PUB23	GO:0006952	defense response	P
UniProtKB	Q84TG3	PUB23	GO:0016740	transferase activity	F
UniProtKB	Q84TG3	PUB23	GO:0051865	protein autoubiquitination	P
UniProtKB	Q84TG3	PUB23	GO:0010200	response to chitin	P
UniProtKB	Q84TG3	PUB23	GO:0009414	response to water deprivation	P
UniProtKB	Q84TG3	PUB23	GO:0002679	respiratory burst involved in defense response	P
UniProtKB	Q84TG3	PUB23	GO:0006952	defense response	P
UniProtKB	Q84TG3	PUB23	GO:0005829	cytosol	C
UniProtKB	Q84TG3	PUB23	GO:0016567	protein ubiquitination	P
UniProtKB	Q84TG3	PUB23	GO:0005737	cytoplasm	C
UniProtKB	Q84TG3	PUB23	GO:0016567	protein ubiquitination	P
