GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	F4IQ66	At2g43140	GO:0046983	protein dimerization activity	F
UniProtKB	F4IQ66	At2g43140	GO:0005634	nucleus	C
UniProtKB	F4IQ66	At2g43140	GO:0003677	DNA binding	F
UniProtKB	F4IQ66	At2g43140	GO:0010629	negative regulation of gene expression	P
UniProtKB	F4IQ66	At2g43140	GO:0005634	nucleus	C
UniProtKB	F4IQ66	At2g43140	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	F4IQ66	At2g43140	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	F4IQ66	At2g43140	GO:0006355	regulation of transcription, DNA-templated	P
UniProtKB	F4IQ66	At2g43140	GO:0071215	cellular response to abscisic acid stimulus	P
UniProtKB	F4IQ66	At2g43140	GO:0005634	nucleus	C
