GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9FLM1	GDPD2	GO:0046475	glycerophospholipid catabolic process	P
UniProtKB	Q9FLM1	GDPD2	GO:0008081	phosphoric diester hydrolase activity	F
UniProtKB	Q9FLM1	GDPD2	GO:0006629	lipid metabolic process	P
UniProtKB	Q9FLM1	GDPD2	GO:0016787	hydrolase activity	F
UniProtKB	Q9FLM1	GDPD2	GO:0006071	glycerol metabolic process	P
UniProtKB	Q9FLM1	GDPD2	GO:0008889	glycerophosphodiester phosphodiesterase activity	F
UniProtKB	Q9FLM1	GDPD2	GO:0071456	cellular response to hypoxia	P
UniProtKB	Q9FLM1	GDPD2	GO:0008889	glycerophosphodiester phosphodiesterase activity	F
