GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q8RXL7	ARL	GO:0046622	positive regulation of organ growth	P
UniProtKB	Q8RXL7	ARL	GO:0007275	multicellular organism development	P
UniProtKB	Q8RXL7	ARL	GO:0005634	nucleus	C
UniProtKB	Q8RXL7	ARL	GO:0005737	cytoplasm	C
UniProtKB	Q8RXL7	ARL	GO:0005783	endoplasmic reticulum	C
UniProtKB	Q8RXL7	ARL	GO:0016020	membrane	C
UniProtKB	Q8RXL7	ARL	GO:0016021	integral component of membrane	C
UniProtKB	Q8RXL7	ARL	GO:0005783	endoplasmic reticulum	C
UniProtKB	Q8RXL7	ARL	GO:0009825	multidimensional cell growth	P
UniProtKB	Q8RXL7	ARL	GO:0009741	response to brassinosteroid	P
UniProtKB	Q8RXL7	ARL	GO:0035265	organ growth	P
UniProtKB	Q8RXL7	ARL	GO:0005634	nucleus	C
UniProtKB	Q8RXL7	ARL	GO:0005737	cytoplasm	C
UniProtKB	Q8RXL7	ARL	GO:0005783	endoplasmic reticulum	C
UniProtKB	Q8RXL7	ARL	GO:0016020	membrane	C
