GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	A0A1P8AQG2	At1g05700	GO:0005524	ATP binding	F
UniProtKB	A0A1P8AQG2	At1g05700	GO:0004672	protein kinase activity	F
UniProtKB	A0A1P8AQG2	At1g05700	GO:0006468	protein phosphorylation	P
UniProtKB	A0A1P8AQG2	At1g05700	GO:0016301	kinase activity	F
UniProtKB	A0A1P8AQG2	At1g05700	GO:0005524	ATP binding	F
UniProtKB	A0A1P8AQG2	At1g05700	GO:0016310	phosphorylation	P
UniProtKB	A0A1P8AQG2	At1g05700	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	A0A1P8AQG2	At1g05700	GO:0016740	transferase activity	F
UniProtKB	A0A1P8AQG2	At1g05700	GO:0000166	nucleotide binding	F
UniProtKB	A0A1P8AQG2	At1g05700	GO:0016020	membrane	C
UniProtKB	A0A1P8AQG2	At1g05700	GO:0016021	integral component of membrane	C
UniProtKB	A0A1P8AQG2	At1g05700	GO:0005524	ATP binding	F
UniProtKB	A0A1P8AQG2	At1g05700	GO:0000166	nucleotide binding	F
