Gene Id. ,Put1,Put2,Put3,Put avg Fold change,Put Log Fold change,P-val Put,tSpm1,tSpm2,tSpm3,tSpm avg Fold change,tSpm Log Fold change,P-val tSpm
AT3G25790,"-2,88","-2,25","-2,33","-2,49","-1,32","0,00E+00","-2,15","-3,55","-2,61","-2,77","-1,47","1,37E-09"
AT2G48080,"-2,09","-2,24","-2,13","-2,15","-1,11","1,29E-10","1,88","1,86","1,70","1,82","0,86",
AT2G25160,"-2,82","-2,44","-2,29","-2,52","-1,33","0,00E+00","-3,11","-3,54","-3,33","-3,33","-1,73","1,21E-14"
AT3G27250,"-2,87","-2,87","-2,62","-2,79","-1,48","8,48E-09","1,81","1,22","1,33","1,45","0,54",
AT1G49860,"-2,37","-2,93","-2,99","-2,76","-1,47","0,00E+00","1,51","1,11","1,17","1,26","0,34",
AT2G31540,"-4,71","-4,08","-4,90","-4,56","-2,19","1,77E-07","-3,18","-5,04","-3,58","-3,93","-1,98","3,19E-07"
AT3G22830,"-4,10","-4,56","-4,51","-4,39","-2,13","2,47E-08","-8,23","-8,55","-6,96","-7,91","-2,98","4,09E-08"
AT5G06760,"-6,87","-6,51","-6,62","-6,66","-2,74","3,04E-12","-14,24","-18,67","-13,36","-15,42","-3,95","5,40E-14"
AT1G24996,"-551,17","-565,80","-577,68","-564,89","-9,14","2,01E-09","2,26","0,66","0,88","1,27","0,34",
AT2G41810,"1,45","1,72","1,69","1,62","0,70",,"17,70","13,17","13,26","14,71","3,88","2,28E-13"
AT5G19700,"1,62","0,84","1,16","1,21","0,27",,"7,40","7,99","7,13","7,51","2,91","1,64E-09"
AT1G15625,"1,74","1,71","0,99","1,48","0,56",,"6,64","6,47","6,85","6,65","2,73","4,75E-09"
AT3G09400,"0,78","2,34","1,10","1,41","0,49",,"4,17","4,49","4,22","4,29","2,10","1,83E-07"
AT1G21326,"0,89","2,55","1,83","1,76","0,81",,"3,22","3,59","3,80","3,54","1,82","1,01E-07"
AT1G26250,"1,36","1,83","1,27","1,49","0,57",,"3,19","3,65","3,62","3,49","1,80","3,82E-13"
AT3G59850,"1,66","1,69","2,05","1,80","0,85",,"3,33","3,44","4,00","3,59","1,84","7,10E-08"
AT3G22800,"1,50","2,29","2,46","2,08","1,06",,"3,59","3,42","3,59","3,53","1,82","0,00E+00"
AT4G18940,"1,78","1,87","0,83","1,49","0,58",,"3,92","3,97","3,10","3,66","1,87","4,13E-08"
AT2G43140,"1,43","0,39","1,23","1,02","0,02",,"3,72","3,88","3,56","3,72","1,89","5,07E-12"
AT5G41080,"1,31","0,73","1,45","1,16","0,22",,"3,49","3,86","3,90","3,75","1,91","5,78E-14"
AT1G53633,"1,51","1,52","1,52","1,51","0,60",,"3,80","3,87","3,92","3,86","1,95","5,23E-07"
AT1G05675,"1,94","2,86","1,40","2,07","1,05",,"3,43","3,28","3,35","3,35","1,75","1,26E-07"
AT1G78000,"1,10","1,49","1,19","1,26","0,33",,"3,53","3,60","3,09","3,40","1,77","0,00E+00"
AT3G02140,"1,87","1,59","2,21","1,89","0,92",,"3,80","3,22","3,57","3,53","1,82","4,76E-14"
AT1G68880,"1,27","0,75","1,26","1,09","0,13",,"3,10","4,00","3,24","3,45","1,78","6,40E-09"
AT1G05700,"1,54","1,84","1,60","1,66","0,73",,"3,60","3,65","3,77","3,67","1,88","2,65E-10"
AT5G14730,"1,62","1,52","1,29","1,48","0,56",,"3,84","3,32","3,29","3,48","1,80","0,00E+00"
AT1G30730,"1,47","1,35","1,32","1,38","0,47",,"3,44","3,99","3,71","3,72","1,89","8,44E-15"
AT2G28960,"1,06","1,67","1,44","1,39","0,48",,"3,87","3,50","3,01","3,46","1,79","0,00E+00"
AT5G05440,"1,16","1,61","1,37","1,38","0,46",,"3,49","3,50","3,21","3,40","1,77","5,56E-11"
AT2G39530,"1,89","1,34","1,74","1,65","0,73",,"3,74","3,23","3,54","3,50","1,81","2,95E-12"
AT3G30775,"1,99","1,48","0,94","1,47","0,55",,"3,34","3,74","3,08","3,39","1,76","3,25E-09"
AT4G24310,"1,55","0,94","1,15","1,21","0,28",,"3,89","3,05","3,68","3,54","1,82","1,65E-10"
AT5G54040,"1,84","1,03","1,02","1,30","0,38",,"3,62","3,58","3,42","3,54","1,82","2,21E-09"
AT1G57990,"2,27","0,79","0,99","1,35","0,43",,"3,68","3,92","4,00","3,86","1,95","2,46E-12"
AT1G68450,"1,79","0,80","1,20","1,26","0,34",,"3,25","3,49","3,46","3,40","1,77","6,00E-08"
AT1G72360,"1,83","0,95","1,70","1,49","0,58",,"3,57","3,35","3,95","3,62","1,86","3,42E-10"
AT3G25730,"1,07","1,27","1,43","1,26","0,33",,"3,83","3,45","3,92","3,73","1,90","1,10E-12"
AT4G04700,"1,12","0,83","1,78","1,24","0,31",,"3,87","3,49","3,77","3,71","1,89","1,94E-09"
AT5G64100,"1,68","1,60","1,28","1,52","0,60",,"3,13","3,20","3,68","3,34","1,74","8,24E-13"
AT1G80450,"0,74","1,64","1,70","1,36","0,44",,"3,48","3,74","3,92","3,71","1,89","3,76E-12"
AT1G02520,"1,04","1,68","1,59","1,44","0,52",,"3,54","3,18","3,57","3,43","1,78","0,00E+00"
AT2G46740,"0,70","0,93","2,11","1,24","0,32",,"3,81","3,37","3,77","3,65","1,87","2,77E-13"
AT5G06740,"1,22","2,23","0,57","1,34","0,42",,"3,50","3,68","3,62","3,60","1,85","6,33E-15"
AT1G32928,"1,68","2,02","0,84","1,51","0,60",,"2,62","2,87","2,57","2,68","1,42","8,02E-09"
AT4G01750,"0,89","1,12","0,69","0,90","-0,16",,"2,17","2,61","2,87","2,55","1,35","0,00E+00"
AT2G26820,"1,50","1,22","2,68","1,80","0,85",,"2,12","2,63","2,74","2,50","1,32","1,52E-06"
AT2G28970,"1,61","1,39","1,88","1,62","0,70",,"2,46","2,70","2,50","2,55","1,35","2,25E-09"
AT2G35930,"2,02","1,08","1,80","1,63","0,71",,"2,58","2,68","2,44","2,57","1,36","5,55E-16"
AT5G27420,"1,59","2,27","0,64","1,50","0,59",,"2,99","2,20","2,98","2,72","1,45","2,36E-12"
AT4G31320,"1,51","1,47","1,94","1,64","0,71",,"2,03","2,10","2,58","2,23","1,16","1,04E-07"
AT5G08350,"1,52","0,78","1,47","1,26","0,33",,"2,30","2,08","2,62","2,34","1,22","2,21E-07"
AT2G44080,"1,24","1,34","1,08","1,22","0,29",,"2,38","2,71","2,39","2,49","1,32","1,81E-06"
AT4G34135,"1,32","1,91","1,74","1,65","0,72",,"2,54","2,90","2,15","2,53","1,34","0,00E+00"
AT5G20250,"0,50","1,99","2,36","1,62","0,69",,"2,60","2,33","2,05","2,33","1,22","2,59E-08"
AT1G25400,"1,87","1,61","2,39","1,96","0,97",,"2,64","2,44","2,72","2,60","1,38","2,63E-08"
AT2G28630,"1,62","1,90","0,80","1,44","0,53",,"2,66","2,32","2,75","2,58","1,37","3,22E-08"
AT3G25250,"1,52","2,03","1,93","1,83","0,87",,"2,38","2,64","2,27","2,43","1,28","1,29E-08"
AT5G61430,"1,46","1,12","1,36","1,31","0,39",,"-1,88","-0,69","-1,80","-1,46","-0,54","2,51E-10"
AT5G07680,"1,68","2,09","1,99","1,92","0,94",,"-1,84","-0,75","-1,44","-1,34","-0,42","1,26E-12"
AT5G59220,"1,74","2,31","1,35","1,80","0,85",,"-1,41","0,45","-1,84","-0,93","0,10","2,66E-10"
AT1G49450,"1,94","1,27","1,40","1,54","0,62",,"-2,62","-2,04","-2,45","-2,37","-1,25","4,88E-12"
