Gene Id. ,Put1,Put2,Put3,Put avg Fold change,Put Log Fold change,P-val Put,tSpm1,tSpm2,tSpm3,tSpm avg Fold change,tSpm Log Fold change,P-val tSpm
AT1G51820,"4,67","3,66","4,04","4,12","2,04","1,34E-14","1,52","1,87","1,86","1,75","0,81",
AT3G46230,"4,62","3,33","5,00","4,32","2,11","6,05E-07","0,76","1,04","0,53","0,78","-0,36",
AT4G21680,"4,62","3,99","4,74","4,45","2,15","7,88E-07","1,13","0,84","1,34","1,10","0,14",
AT5G57220,"4,08","3,60","4,16","3,95","1,98","0,00E+00","6,11","5,51","6,01","5,88","2,56","0,00E+00"
AT1G30700,"4,60","3,23","4,99","4,27","2,10","0,00E+00","5,61","4,91","5,75","5,43","2,44","0,00E+00"
AT1G79850,"4,22","3,54","4,54","4,10","2,04","0,00E+00","1,48","1,09","1,53","1,37","0,45",
AT3G01175,"4,33","3,50","4,52","4,12","2,04","9,97E-12","1,53","1,55","1,24","1,44","0,53",
AT3G02305,"4,19","3,81","4,26","4,09","2,03","4,70E-08","1,74","1,00","1,63","1,46","0,54",
AT2G02990,"4,14","3,79","4,13","4,02","2,01","4,41E-07","1,93","1,54","1,32","1,59","0,67",
AT2G27389,"4,28","3,21","4,75","4,08","2,03","5,07E-12","4,47","3,16","4,23","3,95","1,98","3,93E-13"
AT1G05575,"4,94","3,23","4,34","4,17","2,06","1,61E-09","1,12","1,96","1,85","1,64","0,72",
AT4G04972,"4,02","3,01","4,33","3,79","1,92","1,27E-06","1,71","1,11","2,52","1,78","0,83",
AT5G35480,"4,11","3,92","4,07","4,03","2,01","0,00E+00","1,91","1,63","1,40","1,65","0,72",
AT1G06227,"4,77","3,30","4,59","4,22","2,08","7,11E-15","1,22","0,93","1,92","1,36","0,44",
AT2G40340,"4,75","3,41","4,89","4,35","2,12","6,45E-07","1,81","1,79","1,42","1,67","0,74",
AT1G26380,"3,58","2,32","3,18","3,03","1,60","6,66E-16","5,77","4,90","5,32","5,33","2,41","9,47E-10"
AT1G29418,"3,80","2,89","3,49","3,39","1,76","0,00E+00","1,34","1,79","1,65","1,59","0,67",
AT2G30750,"3,59","2,41","3,25","3,08","1,62","2,39E-08","1,67","0,85","1,95","1,49","0,57",
