"my_symbol","my_go"
"PP2A8","GO:0016787"
"PP2A8","GO:0061809"
"PP2A8","GO:0050135"
"PP2A8","GO:0030246"
"PP2A8","GO:0003953"
"At1g60750","GO:0016491"
"At1g60750","GO:0047834"
"At1g60750","GO:0005634"
"PUB22","GO:0005515"
"PUB22","GO:0004842"
"PUB22","GO:0016567"
"PUB22","GO:0005737"
"PUB22","GO:0006952"
"PUB22","GO:0016740"
"PUB22","GO:0051865"
"PUB22","GO:0010200"
"PUB22","GO:0009414"
"PUB22","GO:0002679"
"PUB22","GO:0005829"
"PER62","GO:0009505"
"PER62","GO:0004601"
"PER62","GO:0009506"
"PER62","GO:0020037"
"PER62","GO:0006979"
"PER62","GO:0042744"
"PER62","GO:0005576"
"PER62","GO:0016491"
"PER62","GO:0046872"
"PER62","GO:0005794"
"PER62","GO:0050832"
"PER62","GO:0098869"
"MOP9.4","GO:0006629"
"UGT73B3","GO:0008194"
"UGT73B3","GO:0006952"
"UGT73B3","GO:0016740"
"UGT73B3","GO:0016757"
"UGT73B3","GO:0047893"
"UGT73B3","GO:0102360"
"UGT73B3","GO:0102425"
"UGT73B3","GO:0035251"
"UGT73B3","GO:0080043"
"UGT73B3","GO:0051707"
"UGT73B3","GO:0071456"
"GLR1.3","GO:0005886"
"GLR1.3","GO:0038023"
"GLR1.3","GO:0015276"
"GLR1.3","GO:0008066"
"GLR1.3","GO:0005262"
"GLR1.3","GO:0019722"
"GLR1.3","GO:0006816"
"GLR1.3","GO:0071230"
"GLR1.3","GO:0016020"
"GLR1.3","GO:0006811"
"GLR1.3","GO:0016021"
"GLR1.3","GO:0034220"
"GLR1.3","GO:0070588"
"UGT73B4","GO:0008194"
"UGT73B4","GO:0009636"
"UGT73B4","GO:0016740"
"UGT73B4","GO:0016757"
"UGT73B4","GO:0047893"
"UGT73B4","GO:0102360"
"UGT73B4","GO:0102425"
"UGT73B4","GO:0035251"
"UGT73B4","GO:0005829"
"UGT73B4","GO:0080043"
"UGT73B4","GO:0080044"
"UGT73B4","GO:0051707"
"VQ1","GO:0005634"
"VQ1","GO:0008150"
"VQ1","GO:0005515"
"PYL6","GO:0005634"
"PYL6","GO:0005737"
"PYL6","GO:0009738"
"PYL6","GO:0004864"
"PYL6","GO:0038023"
"PYL6","GO:0080163"
"PYL6","GO:0010427"
"PYL6","GO:0005515"
"PYL6","GO:0042803"
"PYL6","GO:0009867"
"PYL6","GO:0005886"
"PYL6","GO:0016020"
"PYL6","GO:0032515"
"At1g19020","GO:0016740"
"At1g19020","GO:0006979"
"At1g19020","GO:0005575"
"At1g19020","GO:0000302"
"At1g19020","GO:0009617"
"At1g19020","GO:0009611"
"At1g19020","GO:0071456"
"IOS1","GO:0005515"
"IOS1","GO:0010200"
"IOS1","GO:0005886"
"IOS1","GO:0042803"
"IOS1","GO:0002239"
"IOS1","GO:0002238"
"IOS1","GO:0002237"
"IOS1","GO:0009620"
"IOS1","GO:2000071"
"IOS1","GO:1902289"
"IOS1","GO:1900426"
"IOS1","GO:1900150"
"IOS1","GO:0005524"
"IOS1","GO:0004672"
"IOS1","GO:0006468"
"IOS1","GO:0016301"
"IOS1","GO:0016310"
"IOS1","GO:0009738"
"IOS1","GO:0006952"
"IOS1","GO:0004674"
"IOS1","GO:0016740"
"IOS1","GO:0000166"
"IOS1","GO:0016020"
"IOS1","GO:0016021"
"IOS1","GO:0090406"
"IOS1","GO:0002229"
"IOS1","GO:0009788"
"IOS1","GO:0042802"
"UGT73B5","GO:0008194"
"UGT73B5","GO:0006952"
"UGT73B5","GO:0016740"
"UGT73B5","GO:0016757"
"UGT73B5","GO:0047893"
"UGT73B5","GO:0102360"
"UGT73B5","GO:0102425"
"UGT73B5","GO:0035251"
"UGT73B5","GO:0080043"
"UGT73B5","GO:0051707"
"LECRK11","GO:0042742"
"LECRK11","GO:0002229"
"LECRK11","GO:0005886"
"LECRK11","GO:0004675"
"LECRK11","GO:0050832"
"LECRK11","GO:0005524"
"LECRK11","GO:0030246"
"LECRK11","GO:0004672"
"LECRK11","GO:0006468"
"LECRK11","GO:0016301"
"LECRK11","GO:0016310"
"LECRK11","GO:0006952"
"LECRK11","GO:0004674"
"LECRK11","GO:0016740"
"LECRK11","GO:0000166"
"LECRK11","GO:0016020"
"LECRK11","GO:0016021"
"LECRK11","GO:0106310"
"LECRK11","GO:0106311"
"LECRK11","GO:0007178"
"At1g04770","GO:0010438"
"At1g04770","GO:0005634"
"At1g04770","GO:0010439"
"At1g04770","GO:0009658"
"At2g42060","GO:0035556"
"At1g76600","GO:0005634"
"At1g76600","GO:0005730"
"At1g76600","GO:0009620"
"At1g76600","GO:0071456"
"OPR1","GO:0016491"
"OPR1","GO:0005737"
"OPR1","GO:0016629"
"OPR1","GO:0010181"
"OPR1","GO:0003824"
"OPR1","GO:0031408"
"OPR1","GO:0006633"
"OPR1","GO:0006631"
"OPR1","GO:0006629"
"OPR1","GO:0005515"
"T1N24.22","GO:0005524"
"T1N24.22","GO:0004672"
"T1N24.22","GO:0006468"
"T1N24.22","GO:0016301"
"T1N24.22","GO:0016310"
"T1N24.22","GO:0016740"
"T1N24.22","GO:0000166"
"T1N24.22","GO:0016020"
"T1N24.22","GO:0016021"
"T1N24.22","GO:0005886"
"T1N24.22","GO:0005515"
"At5g28630","GO:0005575"
"At5g28630","GO:0008150"
"UGT74E2","GO:0080044"
"UGT74E2","GO:0080043"
"UGT74E2","GO:0008194"
"UGT74E2","GO:0016740"
"UGT74E2","GO:0016757"
"UGT74E2","GO:0035251"
"UGT74E2","GO:0042631"
"UGT74E2","GO:0070301"
"UGT74E2","GO:0010016"
"UGT74E2","GO:0080167"
"UGT74E2","GO:0052638"
"UGT74E2","GO:0071215"
"UGT74E2","GO:0080024"
"UGT74E2","GO:0071475"
"At5g66985","GO:0071456"
"At3g46280","GO:0016301"
"At3g46280","GO:0016310"
"At3g46280","GO:0016020"
"At3g46280","GO:0016021"
"WAKL4","GO:0006468"
"WAKL4","GO:0005886"
"WAKL4","GO:0004674"
"WAKL4","GO:0007166"
"WAKL4","GO:0005509"
"WAKL4","GO:0005524"
"WAKL4","GO:0030247"
"WAKL4","GO:0004672"
"WAKL4","GO:0016021"
"WAKL4","GO:0016301"
"WAKL4","GO:0016310"
"WAKL4","GO:0016740"
"WAKL4","GO:0000166"
"WAKL4","GO:0016020"
"WAKL4","GO:0106310"
"WAKL4","GO:0106311"
"At3g13760","GO:0046872"
"GSTU24","GO:0006749"
"GSTU24","GO:0004364"
"GSTU24","GO:0005737"
"GSTU24","GO:0009636"
"GSTU24","GO:0016740"
"GSTU24","GO:0009407"
"GSTU24","GO:0005829"
"GSTU24","GO:0043295"
"GSTU24","GO:0046256"
"At2g27660","GO:0005575"
"At2g27660","GO:0003674"
"At2g27660","GO:0008150"
"At4g04745","GO:0008150"
"MIOX2","GO:0050113"
"MIOX2","GO:0019310"
"MIOX2","GO:0005506"
"MIOX2","GO:0005737"
"MIOX2","GO:0019853"
"MIOX2","GO:0016491"
"MIOX2","GO:0046872"
"At5g49770","GO:0005524"
"At5g49770","GO:0004672"
"At5g49770","GO:0006468"
"At5g49770","GO:0016301"
"At5g49770","GO:0016310"
"At5g49770","GO:0004674"
"At5g49770","GO:0016740"
"At5g49770","GO:0000166"
"At5g49770","GO:0016020"
"At5g49770","GO:0016021"
"At5g49770","GO:0106310"
"At5g49770","GO:0106311"
"At5g49770","GO:0009536"
"At5g49770","GO:0005515"
"GSTU22","GO:0005737"
"GSTU22","GO:0004364"
"GSTU22","GO:0006749"
"GSTU22","GO:0009636"
"GSTU22","GO:0016740"
"GSTU22","GO:0009407"
"GSTU22","GO:0005829"
"At3g07195","GO:0005886"
"PCR8","GO:0005886"
"PCR8","GO:0016020"
"PCR8","GO:0016021"
"PCR8","GO:0006979"
"At2g33710","GO:0003677"
"At2g33710","GO:0003700"
"At2g33710","GO:0006355"
"At2g33710","GO:0005634"
"At2g33710","GO:0010200"
"At2g33710","GO:0005730"
"F6'H1","GO:0009805"
"F6'H1","GO:1990641"
"F6'H1","GO:0016491"
"F6'H1","GO:0046872"
"F6'H1","GO:0051213"
"F6'H1","GO:0010421"
"F6'H1","GO:0009699"
"GLV4","GO:0005615"
"GLV4","GO:0010082"
"GLV4","GO:0009786"
"GLV4","GO:2000067"
"GLV4","GO:2000023"
"GLV4","GO:0008083"
"GLV4","GO:0030154"
"GLV4","GO:0005576"
"GLV4","GO:0007165"
"GLV4","GO:0008284"
"ACA12","GO:0043231"
"ACA12","GO:0005887"
"ACA12","GO:0019829"
"ACA12","GO:0005388"
"ACA12","GO:0005524"
"ACA12","GO:0000166"
"ACA12","GO:0016020"
"ACA12","GO:0016021"
"ACA12","GO:0070588"
"ACA12","GO:0005516"
"ACA12","GO:0006816"
"ACA12","GO:0006811"
"ACA12","GO:0046872"
"At1g05660","GO:0004650"
"At1g05660","GO:0005975"
"At1g05660","GO:0016787"
"At1g05660","GO:0016798"
"At1g05660","GO:0016829"
"At1g05660","GO:0005618"
"At1g05660","GO:0008152"
"IGMT3","GO:0008757"
"IGMT3","GO:0019438"
"IGMT3","GO:0032259"
"IGMT3","GO:0008171"
"IGMT3","GO:0008168"
"IGMT3","GO:0046983"
"IGMT3","GO:0016740"
"IGMT3","GO:1990110"
"NCED3","GO:0016121"
"NCED3","GO:0009570"
"NCED3","GO:0010436"
"NCED3","GO:0016702"
"NCED3","GO:0009688"
"NCED3","GO:0016491"
"NCED3","GO:0046872"
"NCED3","GO:0051213"
"NCED3","GO:0009536"
"NCED3","GO:0009507"
"NCED3","GO:0045549"
"NCED3","GO:0042538"
"NCED3","GO:0009414"
"NCED3","GO:0006970"
"NCED3","GO:0009535"
"UNE11","GO:0004857"
"UNE11","GO:0043086"
"UNE11","GO:0009567"
"HHO1","GO:0016036"
"HHO1","GO:0090548"
"HHO1","GO:0003677"
"HHO1","GO:0005634"
"HHO1","GO:0003700"
"HHO1","GO:0006355"
"HHO1","GO:0005515"
"CYP82F1","GO:0098542"
"CYP82F1","GO:0005506"
"CYP82F1","GO:0020037"
"CYP82F1","GO:0016705"
"CYP82F1","GO:0004497"
"CYP82F1","GO:0016491"
"CYP82F1","GO:0046872"
"CYP82F1","GO:0016020"
"CYP82F1","GO:0016021"
"At2g31540","GO:0016788"
"At2g31540","GO:0016042"
"At2g31540","GO:0005576"
"At2g31540","GO:0016787"
"At2g31540","GO:0006629"
"HSFA6b","GO:0034605"
"HSFA6b","GO:0005634"
"HSFA6b","GO:0003700"
"HSFA6b","GO:0000978"
"HSFA6b","GO:0006357"
"HSFA6b","GO:0043565"
"HSFA6b","GO:0006355"
"HSFA6b","GO:0005737"
"HSFA6b","GO:0003677"
"HSFA6b","GO:0000976"
"LEA46","GO:0009793"
"LEA46","GO:0048316"
"LEA46","GO:0009414"
"LEA46","GO:0009409"
"LEA46","GO:0006970"
"LEA46","GO:0005829"
"DTX52","GO:0022857"
"DTX52","GO:0016020"
"DTX52","GO:0005770"
"DTX52","GO:0010015"
"DTX52","GO:0015297"
"DTX52","GO:0042910"
"DTX52","GO:0055085"
"DTX52","GO:0016021"
"DTX52","GO:0005768"
"DTX52","GO:0010150"
"DTX52","GO:0055072"
"DTX52","GO:0031902"
"DTX52","GO:0042908"
"T16N11.13","GO:0016874"
"T16N11.13","GO:0016020"
"T16N11.13","GO:0016021"
"PLL3","GO:0006470"
"PLL3","GO:0004724"
"PLL3","GO:0016791"
"PLL3","GO:0004722"
"PLL3","GO:0005634"
"PLL3","GO:0004721"
"PLL3","GO:0016787"
"PLL3","GO:0046872"
"PLL3","GO:0106306"
"PLL3","GO:0106307"
"F16F4.1","GO:0005634"
"At1g26250","GO:0005199"
"At1g26250","GO:0009664"
"At3g59850","GO:0004650"
"At3g59850","GO:0005975"
"At3g59850","GO:0016787"
"At3g59850","GO:0016798"
"At3g59850","GO:0016829"
"At3g59850","GO:0005618"
"At3g59850","GO:0008152"
"LRX6","GO:0005576"
"LRX6","GO:0071555"
"LRX6","GO:0005618"
"LRX6","GO:0005199"
"At4g18940","GO:0004113"
"At4g18940","GO:0009187"
"At4g18940","GO:0016874"
"At4g18940","GO:0004112"
"At2g43140","GO:0046983"
"At2g43140","GO:0005634"
"At2g43140","GO:0003677"
"At2g43140","GO:0010629"
"At2g43140","GO:0003700"
"At2g43140","GO:0006355"
"At2g43140","GO:0071215"
"GDPD2","GO:0046475"
"GDPD2","GO:0008081"
"GDPD2","GO:0006629"
"GDPD2","GO:0016787"
"GDPD2","GO:0006071"
"GDPD2","GO:0008889"
"GDPD2","GO:0071456"
"At1g53633","GO:0005575"
"At1g53633","GO:0003674"
"At1g53633","GO:0008150"
"UGT74E1","GO:0080043"
"UGT74E1","GO:0080044"
"UGT74E1","GO:0008194"
"UGT74E1","GO:0016740"
"UGT74E1","GO:0016757"
"SULTR1;2","GO:0015301"
"SULTR1;2","GO:0005887"
"SULTR1;2","GO:0008271"
"SULTR1;2","GO:0005886"
"SULTR1;2","GO:0008272"
"SULTR1;2","GO:0016020"
"SULTR1;2","GO:0016021"
"SULTR1;2","GO:0015116"
"SULTR1;2","GO:0055085"
"SULTR1;2","GO:0015293"
"SULTR1;2","GO:0009970"
"SULTR1;2","GO:0005515"
"SULTR1;2","GO:0098656"
"SULTR1;2","GO:1902358"
"AFP4","GO:0005634"
"AFP4","GO:0009737"
"AFP4","GO:0045892"
"AFP4","GO:0007165"
"AFP4","GO:0010581"
"AFP4","GO:0009788"
"AFP4","GO:0009651"
"AFP4","GO:0005515"
"BZIP8","GO:0042803"
"BZIP8","GO:0003700"
"BZIP8","GO:0006355"
"BZIP8","GO:0005634"
"BZIP8","GO:0003677"
"At1g05700","GO:0005524"
"At1g05700","GO:0004672"
"At1g05700","GO:0006468"
"At1g05700","GO:0016301"
"At1g05700","GO:0016310"
"At1g05700","GO:0004674"
"At1g05700","GO:0016740"
"At1g05700","GO:0000166"
"At1g05700","GO:0016020"
"At1g05700","GO:0016021"
"At5g14730","GO:0005575"
"At5g14730","GO:0008150"
"At1g30730","GO:0005618"
"At1g30730","GO:0016491"
"At1g30730","GO:0071949"
"At1g30730","GO:0050660"
"At1g30730","GO:0005576"
"At1g30730","GO:0000166"
"At2g28960","GO:0005524"
"At2g28960","GO:0004672"
"At2g28960","GO:0006468"
"At2g28960","GO:0016301"
"At2g28960","GO:0016310"
"At2g28960","GO:0004674"
"At2g28960","GO:0016740"
"At2g28960","GO:0000166"
"At2g28960","GO:0016020"
"At2g28960","GO:0016021"
"At2g28960","GO:0106310"
"At2g28960","GO:0106311"
"At2g28960","GO:0005515"
"PYL5","GO:0005634"
"PYL5","GO:0005737"
"PYL5","GO:0009738"
"PYL5","GO:0004864"
"PYL5","GO:0038023"
"PYL5","GO:0080163"
"PYL5","GO:0010427"
"PYL5","GO:0005515"
"PYL5","GO:0005886"
"PYL5","GO:0016020"
"PYL5","GO:0032515"
"At2g39530","GO:0051539"
"At2g39530","GO:0005886"
"At2g39530","GO:0016020"
"At2g39530","GO:0016021"
"POX1","GO:0010133"
"POX1","GO:0004657"
"POX1","GO:0071949"
"POX1","GO:0005739"
"POX1","GO:0006562"
"POX1","GO:0016491"
"POX1","GO:0006560"
"POX1","GO:0009414"
"POX1","GO:0006979"
"POX1","GO:0042742"
"POX1","GO:0071456"
"DMP3","GO:0010256"
"DMP3","GO:0090693"
"DMP3","GO:0005783"
"DMP3","GO:0016020"
"DMP3","GO:0016021"
"DMP3","GO:0005789"
"PUP18","GO:0015211"
"PUP18","GO:0016021"
"PUP18","GO:0016020"
"PUP18","GO:0005345"
"PUP18","GO:0006863"
"PUP18","GO:0005886"
"PUP18","GO:0015860"
"PUP18","GO:1904823"
"VQ8","GO:0005634"
"VQ8","GO:0009536"
"VQ8","GO:0009507"
"VQ8","GO:0005515"
"ERF73","GO:0003677"
"ERF73","GO:0003700"
"ERF73","GO:0006355"
"ERF73","GO:0005634"
"ERF73","GO:0034059"
"ERF73","GO:0000976"
"ERF73","GO:0001666"
"ERF73","GO:0009873"
"ERF73","GO:0009723"
"ERF73","GO:0071456"
"ERF73","GO:0071369"
"CPK27","GO:0035556"
"CPK27","GO:0009931"
"CPK27","GO:0046777"
"CPK27","GO:0004683"
"CPK27","GO:0005737"
"CPK27","GO:0005634"
"CPK27","GO:0018105"
"CPK27","GO:0005516"
"CPK27","GO:0005509"
"CPK27","GO:0005524"
"CPK27","GO:0004672"
"CPK27","GO:0006468"
"CPK27","GO:0016301"
"CPK27","GO:0016310"
"CPK27","GO:0004674"
"CPK27","GO:0016740"
"CPK27","GO:0000166"
"CPK27","GO:0046872"
"CPK27","GO:0016020"
"CPK27","GO:0106310"
"CPK27","GO:0106311"
"CPK27","GO:0005829"
"CPK27","GO:0005886"
"PER69","GO:0009506"
"PER69","GO:0004601"
"PER69","GO:0009505"
"PER69","GO:0020037"
"PER69","GO:0006979"
"PER69","GO:0042744"
"PER69","GO:0005576"
"PER69","GO:0016491"
"PER69","GO:0046872"
"PER69","GO:0003729"
"PER69","GO:0005886"
"PER69","GO:0005618"
"PER69","GO:0098869"
"VQ11","GO:0005634"
"VQ11","GO:0008150"
"ABCB11","GO:0042626"
"ABCB11","GO:0016021"
"ABCB11","GO:0055085"
"ABCB11","GO:0005524"
"ABCB11","GO:0016887"
"ABCB11","GO:0000166"
"ABCB11","GO:0016020"
"ABCB11","GO:0005576"
"ABCB11","GO:0009506"
"ABCB11","GO:0005886"
"GULLO5","GO:0016491"
"GULLO5","GO:0003885"
"GULLO5","GO:0016020"
"GULLO5","GO:0071949"
"GULLO5","GO:0050660"
"GULLO5","GO:0019853"
"GULLO5","GO:0050105"
"GULLO5","GO:0005618"
"LECRKS5","GO:0042742"
"LECRKS5","GO:0002229"
"LECRKS5","GO:0005886"
"LECRKS5","GO:0004675"
"LECRKS5","GO:0005524"
"LECRKS5","GO:0030246"
"LECRKS5","GO:0004672"
"LECRKS5","GO:0006468"
"LECRKS5","GO:0016301"
"LECRKS5","GO:0016310"
"LECRKS5","GO:0004674"
"LECRKS5","GO:0016740"
"LECRKS5","GO:0000166"
"LECRKS5","GO:0016020"
"LECRKS5","GO:0016021"
"LECRKS5","GO:0106310"
"LECRKS5","GO:0106311"
"LECRKS5","GO:0007178"
"At1g32928","GO:0005575"
"At1g32928","GO:0003674"
"At1g32928","GO:0071456"
"RGXT2","GO:0010306"
"RGXT2","GO:0035252"
"RGXT2","GO:0016757"
"RGXT2","GO:0005794"
"RGXT2","GO:0016740"
"RGXT2","GO:0071555"
"RGXT2","GO:0016020"
"RGXT2","GO:0016021"
"RGXT2","GO:0000139"
"IAN10","GO:0005525"
"IAN10","GO:0000166"
"IAN10","GO:0030246"
"At2g28970","GO:0005524"
"At2g28970","GO:0004672"
"At2g28970","GO:0006468"
"At2g28970","GO:0016301"
"At2g28970","GO:0016310"
"At2g28970","GO:0016740"
"At2g28970","GO:0000166"
"At2g28970","GO:0016020"
"At2g28970","GO:0016021"
"PUB23","GO:0004842"
"PUB23","GO:0016567"
"PUB23","GO:0005737"
"PUB23","GO:0006952"
"PUB23","GO:0016740"
"PUB23","GO:0051865"
"PUB23","GO:0010200"
"PUB23","GO:0009414"
"PUB23","GO:0002679"
"PUB23","GO:0005829"
"ATL31","GO:0006952"
"ATL31","GO:0016740"
"ATL31","GO:0046872"
"ATL31","GO:0016020"
"ATL31","GO:0016021"
"ATL31","GO:0010200"
"ATL31","GO:0004842"
"ATL31","GO:0098542"
"ATL31","GO:0009737"
"ATL31","GO:0043562"
"ATL31","GO:0042742"
"ATL31","GO:0071456"
"ATL31","GO:0016567"
"SAUR37","GO:0009733"
"At5g08350","GO:0005575"
"At5g08350","GO:0008150"
"ARL","GO:0046622"
"ARL","GO:0007275"
"ARL","GO:0005634"
"ARL","GO:0005737"
"ARL","GO:0005783"
"ARL","GO:0016020"
"ARL","GO:0016021"
"ARL","GO:0009825"
"ARL","GO:0009741"
"ARL","GO:0035265"
"UGT73B2","GO:0008194"
"UGT73B2","GO:0009813"
"UGT73B2","GO:0016740"
