GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9SYK6	At1g05650	GO:0004650	polygalacturonase activity	F
UniProtKB	Q9SYK6	At1g05650	GO:0005975	carbohydrate metabolic process	P
UniProtKB	Q9SYK6	At1g05650	GO:0016787	hydrolase activity	F
UniProtKB	Q9SYK6	At1g05650	GO:0016798	hydrolase activity, acting on glycosyl bonds	F
UniProtKB	Q9SYK6	At1g05650	GO:0016829	lyase activity	F
UniProtKB	Q9SYK6	At1g05650	GO:0005618	cell wall	C
UniProtKB	Q9SYK6	At1g05650	GO:0008152	metabolic process	P
UniProtKB	Q9SYK6	At1g05650	GO:0005618	cell wall	C
