GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9C6C8	GSTF14	GO:0005737	cytoplasm	C
UniProtKB	Q9C6C8	GSTF14	GO:0004364	glutathione transferase activity	F
UniProtKB	Q9C6C8	GSTF14	GO:0043295	glutathione binding	F
UniProtKB	Q9C6C8	GSTF14	GO:0006749	glutathione metabolic process	P
UniProtKB	Q9C6C8	GSTF14	GO:0005737	cytoplasm	C
UniProtKB	Q9C6C8	GSTF14	GO:0009636	response to toxic substance	P
UniProtKB	Q9C6C8	GSTF14	GO:0016740	transferase activity	F
UniProtKB	Q9C6C8	GSTF14	GO:0004364	glutathione transferase activity	F
UniProtKB	Q9C6C8	GSTF14	GO:0009407	toxin catabolic process	P
UniProtKB	Q9C6C8	GSTF14	GO:0005737	cytoplasm	C
UniProtKB	Q9C6C8	GSTF14	GO:0005829	cytosol	C
