GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9FLQ2	MAPKKK15	GO:0005524	ATP binding	F
UniProtKB	Q9FLQ2	MAPKKK15	GO:0004672	protein kinase activity	F
UniProtKB	Q9FLQ2	MAPKKK15	GO:0006468	protein phosphorylation	P
UniProtKB	Q9FLQ2	MAPKKK15	GO:0016301	kinase activity	F
UniProtKB	Q9FLQ2	MAPKKK15	GO:0005524	ATP binding	F
UniProtKB	Q9FLQ2	MAPKKK15	GO:0016310	phosphorylation	P
UniProtKB	Q9FLQ2	MAPKKK15	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	Q9FLQ2	MAPKKK15	GO:0016740	transferase activity	F
UniProtKB	Q9FLQ2	MAPKKK15	GO:0000166	nucleotide binding	F
UniProtKB	Q9FLQ2	MAPKKK15	GO:0005524	ATP binding	F
UniProtKB	Q9FLQ2	MAPKKK15	GO:0000166	nucleotide binding	F
