GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q8VZW1	NIP1-1	GO:0015267	channel activity	F
UniProtKB	Q8VZW1	NIP1-1	GO:0016020	membrane	C
UniProtKB	Q8VZW1	NIP1-1	GO:0055085	transmembrane transport	P
UniProtKB	Q8VZW1	NIP1-1	GO:0016020	membrane	C
UniProtKB	Q8VZW1	NIP1-1	GO:0016021	integral component of membrane	C
UniProtKB	Q8VZW1	NIP1-1	GO:0015250	water channel activity	F
UniProtKB	Q8VZW1	NIP1-1	GO:0015700	arsenite transport	P
UniProtKB	Q8VZW1	NIP1-1	GO:0031347	regulation of defense response	P
UniProtKB	Q8VZW1	NIP1-1	GO:0005886	plasma membrane	C
UniProtKB	Q8VZW1	NIP1-1	GO:0046685	response to arsenic-containing substance	P
UniProtKB	Q8VZW1	NIP1-1	GO:0080170	hydrogen peroxide transmembrane transport	P
UniProtKB	Q8VZW1	NIP1-1	GO:0080170	hydrogen peroxide transmembrane transport	P
UniProtKB	Q8VZW1	NIP1-1	GO:0015105	arsenite transmembrane transporter activity	F
UniProtKB	Q8VZW1	NIP1-1	GO:0005515	protein binding	F
UniProtKB	Q8VZW1	NIP1-1	GO:0005515	protein binding	F
UniProtKB	Q8VZW1	NIP1-1	GO:0005515	protein binding	F
UniProtKB	Q8VZW1	NIP1-1	GO:0005515	protein binding	F
UniProtKB	Q8VZW1	NIP1-1	GO:0005515	protein binding	F
UniProtKB	Q8VZW1	NIP1-1	GO:0005515	protein binding	F
UniProtKB	Q8VZW1	NIP1-1	GO:0016020	membrane	C
UniProtKB	Q8VZW1	NIP1-1	GO:0006833	water transport	P
