GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9SIA5	DTX1	GO:0016020	membrane	C
UniProtKB	Q9SIA5	DTX1	GO:0022857	transmembrane transporter activity	F
UniProtKB	Q9SIA5	DTX1	GO:0015297	antiporter activity	F
UniProtKB	Q9SIA5	DTX1	GO:0042910	xenobiotic transmembrane transporter activity	F
UniProtKB	Q9SIA5	DTX1	GO:0016020	membrane	C
UniProtKB	Q9SIA5	DTX1	GO:0055085	transmembrane transport	P
UniProtKB	Q9SIA5	DTX1	GO:0005886	plasma membrane	C
UniProtKB	Q9SIA5	DTX1	GO:0016020	membrane	C
UniProtKB	Q9SIA5	DTX1	GO:0016021	integral component of membrane	C
UniProtKB	Q9SIA5	DTX1	GO:0015562	efflux transmembrane transporter activity	F
UniProtKB	Q9SIA5	DTX1	GO:0015691	cadmium ion transport	P
UniProtKB	Q9SIA5	DTX1	GO:0005886	plasma membrane	C
UniProtKB	Q9SIA5	DTX1	GO:0051238	sequestering of metal ion	P
UniProtKB	Q9SIA5	DTX1	GO:0005886	plasma membrane	C
UniProtKB	Q9SIA5	DTX1	GO:0042908	xenobiotic transport	P
